ANIMAL	YEAR	SEX	CAP_TRAP	RS	MS	SVL	BCI_RESID
13BTS118	2011	M	12	0	0	1105	-0.237
13BTS019	2007	M	2	0	0	1105.2	-0.066
13BTS024	2009	M	0	0	0	1105.222	0.283
13BTS006	2009	M	7	0	0	1107.364	0.399
13BTS066	2007	M	3	0	0	1107.75	-0.014
13BTS445	2017	M	5	0	0	1109.778	-0.092
13BTS092	2009	M	5	0	0	1110	0.067
13BTS425	2016	M	0	0	0	1110.4	-0.144
13BTS005	2008	M	2	0	0	1112	-0.107
13BTS535	2018	M	0	0	0	1112	0.162
13BTS131	2008	M	6	0	0	1112.8	-0.286
13BTS068	2009	M	4	2	1	1117.125	0.305
13BTS441	2017	M	0	0	0	1117.2	0.18
13BTS206	2012	M	0	0	0	1117.25	0.152
13BTS190	2012	M	7	1	1	1120.5	0.022
13BTS374	2017	M	0	0	0	1122.158	-0.163
13BTS014	2006	M	5	0	0	1122.25	0.043
13BTS112	2007	M	1	0	0	1122.25	-0.053
13BTS436	2017	M	0	0	0	1122.667	0.014
13BTS258	2013	M	0	3	2	1123.2	-0.017
13BTS158	2012	M	0	0	0	1125	0.193
13BTS269	2015	M	4	0	0	1128.667	-0.072
13BTS311	2012	M	2	0	0	1128.667	0.107
13BTS078	2009	M	0	0	0	1129.5	-0.024
